id;sales_order_number;customer_id;placed;cancelled;shipped;completed;status
1;withdrawal turn-key Multi-layered;compressing Brazil application;2020-05-26T03:56:30;2020-05-25T16:46:36;2020-05-26T12:48:01;2020-05-25T21:36:14;CANCELLED
2;Agent;Avon index Philippine Peso;2020-05-26T03:48:37;2020-05-26T07:33:58;2020-05-25T14:06:21;2020-05-26T02:17:08;CANCELLED
3;Lithuania archive payment;orchid bi-directional;2020-05-25T22:30:46;2020-05-26T08:45:56;2020-05-26T02:40:10;2020-05-25T15:02:34;PENDING
4;firewall card;Industrial XSS Money Market Account;2020-05-25T21:18:56;2020-05-25T22:25:58;2020-05-26T08:27:58;2020-05-25T14:27:20;CANCELLED
5;fuchsia;HDD Fantastic Rubber Chair Analyst;2020-05-25T22:16:51;2020-05-26T01:24:19;2020-05-25T20:03:22;2020-05-25T18:21:04;COMPLETED
6;Barbados FTP;tan override;2020-05-26T12:35:39;2020-05-26T10:01:05;2020-05-26T04:59:04;2020-05-26T04:24:17;CANCELLED
7;Massachusetts;transform Refined Metal Sausages;2020-05-25T15:13:16;2020-05-26T12:10:31;2020-05-26T12:47:45;2020-05-26T02:50:29;SHIPPED
8;redundant;withdrawal TCP;2020-05-26T09:56:39;2020-05-26T10:42:41;2020-05-25T13:45:02;2020-05-26T08:10:08;COMPLETED
9;invoice;Illinois;2020-05-25T20:17:16;2020-05-26T04:16:05;2020-05-25T21:37:06;2020-05-25T15:06:48;PENDING
10;Berkshire Total deploy;Optimization;2020-05-25T19:22:10;2020-05-26T12:40:24;2020-05-26T12:20:07;2020-05-26T06:32:33;PENDING
