id;name;sku;taxable;gros_weight;shipped;delivered;status;quantity;unit_price;amount
1;pricing structure reboot clear-thinking;Table;true;24104;2020-05-26;2020-05-26;DELIVERED;66136;66343;9971
2;1080p;transmitting;false;13409;2020-05-26;2020-05-26;DELIVERED;55067;23458;99269
3;Netherlands Antillian Guilder;Malawi Optimized Self-enabling;true;57586;2020-05-26;2020-05-26;OUTOFSTOCK;81257;18472;52069
4;Chief;channels Money Market Account Island;false;63877;2020-05-25;2020-05-25;DELIVERED;57670;43077;74994
5;bus interface;Generic Generic Metal Cheese;true;3615;2020-05-25;2020-05-25;PENDING;50269;69262;12099
6;Money Market Account payment Licensed;Shoes Jewelery;true;34593;2020-05-26;2020-05-25;OUTOFSTOCK;73007;470;47453
7;Borders backing up Hat;PNG Music;true;31683;2020-05-26;2020-05-25;DELIVERED;8763;69247;2617
8;one-to-one;Outdoors Iranian Rial Dynamic;true;81528;2020-05-26;2020-05-26;COMPLAINED;85087;5842;4744
9;virtual Open-source;pink;true;7161;2020-05-25;2020-05-25;OUTOFSTOCK;31251;55599;43739
10;Honduras;USB Specialist override;true;53961;2020-05-26;2020-05-26;OUTOFSTOCK;69117;25650;11176
