id;name;sku;description;srp;taxable;sales_unit;sales_quantity;status;gros_weight;net_weight;length;width;height
1;Generic Steel Tuna;website calculating;cross-platform support;98666;true;PIECE;76146;INREPLENISHMENT;62989;28913;6602;88209;64964
2;Division;SteelX;Kina networks;40879;true;GRAM;46442;LOCKED;20811;4189;60561;70316;51217
3;intranet;Ball Australian Dollar;Bike;6446;true;GRAM;95238;LOCKED;94963;80588;95487;35518;58781
4;indigo Sports Human;Personal Loan Account yellow;Cape Verde;40746;false;PIECE;63453;LOCKED;88935;46377;5902;8723;20319
5;SMS;Gorgeous Rubber Cheese quantifying;cross-platform;99001;true;KILOGRAM;79521;ONSALE;36445;56242;4074;50702;80217
6;Practical AGP Implementation;wireless navigate grey;solution Automotive;56289;false;PIECE;93852;ONSALE;27583;42304;51756;98208;78668
7;Automotive;Ukraine;Associate Games;67875;true;GRAM;7184;INREPLENISHMENT;90897;52857;55509;1215;96602
8;Concrete;TakaXX;National;80631;true;LITER;1542;OUTOFSTOCK;80985;46586;79285;59509;59473
9;Vista;Bedfordshire Product;invoice;42121;false;KILOGRAM;30266;OUTOFSTOCK;24373;97064;64262;94512;76795
10;Borders moratorium;Stand-alone;Soft;82670;true;LITER;30040;LOCKED;67105;10558;606;19729;53349
